editor,year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
S. Palaye,1774,,,,x,,,,x,,,x,,,,,,,,x,,,,,,,,,x,,x,x,,,,,,x,x,
Rochegude,1819,,,,,,x,,,,,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,
Raynouard,1816/21,x,x,x,,x,x,,x,,,x,,x,x,x,,x,,x,,,x,,x,x,x,,,,x,,,,x,x,x,x,x,
Diez,1826,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Diez,1829,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,,x,,
Raynouard,1836,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Mahn,1846,x,x,x,,x,x,,x,,,x,,x,x,x,,x,,x,x,,,,x,x,x,x,,,x,,,,x,x,x,x,x,
Mahn,1856/73,x,x,,x,,,,,,x,x,x,x,x,,x,x,x,,,,x,,,,x,,x,x,,x,x,,,,,x,,x
Bartsch,1855,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Meyer,1874,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Bayle,1879,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Bartsch,1879,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,
Constans,1881,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Appel,1882,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schultz,1888,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Appel,1892,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Crescini,1892,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Santy,1893,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Appel,1895,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,x
Appel,1897,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Chaytor,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
Jeanroy,1905,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crescini,1907,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Kolsen,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
Rochemaure,1910,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolsen,1916,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Lommatzsch,1917,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,
Kussler,1917,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Kolsen,1919,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Kolsen,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
Kolsen,1925,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,x,,,,,,,,,
Crescini,1926,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Crescini,1926/27,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Anglade,1927,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,
Jeanroy,1927,,,,,,,,,,,,,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,
Audiau-Lav.,1927,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,
Appel,1928,x,,,x,,,,,,,x,,,,,,x,x,,,x,x,,,,,,x,,,,,x,,,,,,
Appel,1928,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
Appel,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Appel,1929,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Fassbinder,1929,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berry,1930,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Appel,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Kolsen,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
Kolsen,1938,,x,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
Cavaliere,1938,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
Monteverdi,1939,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Kolsen,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Bertoni,1940,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Hill-Bergin,1941,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,x
Barroux,1941,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,
Wellner,1942,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,x
Lewent,1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Lewent,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viscardi,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Chambers,1945,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Véran,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piccolo,1948,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,
M. de Riquer,1948,,,,,,,,x,,,,,,x,,,,,,x,,,,x,x,,x,,,,x,,,,,,,,x
